stateName,state,population_2019,internetPenetration_2017,num_internetUsers,num_internetUsers_M
.Alabama,AL,"4,780,125",78.7,3761958.375,3.761958375
.Alaska,AK,"710,249",83.6,593768.164,0.593768164
.Arizona,AZ,"6,392,288",83.9,5363129.632,5.363129632
.Arkansas,AR,"2,916,031",80.1,2335740.831,2.335740831
.California,CA,"37,254,519",83.8,31219286.92,31.21928692
.Colorado,CO,"5,029,319",79.5,3998308.605,3.998308605
.Connecticut,CT,"3,574,147",82.4,2945097.128,2.945097128
.Delaware,DE,"897,937",80.1,719247.537,0.719247537
.District of Columbia,DC,"601,767",84.1,506086.047,0.506086047
.Florida,FL,"18,804,564",84.2,15833442.89,15.83344289
.Georgia,GA,"9,688,729",84.7,8206353.463,8.206353463
.Hawaii,HI,"1,360,307",83.6,1137216.652,1.137216652
.Idaho,ID,"1,567,657",87.6,1373267.532,1.373267532
.Illinois,IL,"12,831,572",86.5,11099309.78,11.09930978
.Indiana,IN,"6,484,051",81.5,5284501.565,5.284501565
.Iowa,IA,"3,046,871",84.3,2568512.253,2.568512253
.Kansas,KS,"2,853,123",82.2,2345267.106,2.345267106
.Kentucky,KY,"4,339,333",79,3428073.07,3.42807307
.Louisiana,LA,"4,533,487",82.8,3753727.236,3.753727236
.Maine,ME,"1,328,358",85.1,1130432.658,1.130432658
.Maryland,MD,"5,773,794",84,4849986.96,4.84998696
.Massachusetts,MA,"6,547,785",78.4,5133463.44,5.13346344
.Michigan,MI,"9,884,116",81.2,8025902.192,8.025902192
.Minnesota,MN,"5,303,927",85.6,4540161.512,4.540161512
.Mississippi,MS,"2,968,130",78.5,2329982.05,2.32998205
.Missouri,MO,"5,988,950",83.3,4988795.35,4.98879535
.Montana,MT,"989,407",78.1,772726.867,0.772726867
.Nebraska,NE,"1,826,305",83.1,1517659.455,1.517659455
.Nevada,NV,"2,700,677",87.5,2363092.375,2.363092375
.New Hampshire,NH,"1,316,462",88.3,1162435.946,1.162435946
.New Jersey,NJ,"8,791,978",82.4,7244589.872,7.244589872
.New Mexico,NM,"2,059,199",83.3,1715312.767,1.715312767
.New York,NY,"19,378,144",80.2,15541271.49,15.54127149
.North Carolina,NC,"9,535,751",81.4,7762101.314,7.762101314
.North Dakota,ND,"672,576",82.4,554202.624,0.554202624
.Ohio,OH,"11,536,751",79.4,9160180.294,9.160180294
.Oklahoma,OK,"3,751,582",80.2,3008768.764,3.008768764
.Oregon,OR,"3,831,079",87.4,3348363.046,3.348363046
.Pennsylvania,PA,"12,702,868",78.2,9933642.776,9.933642776
.Rhode Island,RI,"1,052,964",83.1,875013.084,0.875013084
.South Carolina,SC,"4,625,366",82.7,3825177.682,3.825177682
.South Dakota,SD,"814,198",79,643216.42,0.64321642
.Tennessee,TN,"6,346,276",78.2,4962787.832,4.962787832
.Texas,TX,"25,146,091",81.7,20544356.35,20.54435635
.Utah,UT,"2,763,891",87.7,2423932.407,2.423932407
.Vermont,VT,"625,737",83.1,519987.447,0.519987447
.Virginia,VA,"8,001,049",85.2,6816893.748,6.816893748
.Washington,WA,"6,724,540",88.5,5951217.9,5.9512179
.West Virginia,WV,"1,853,018",78,1445354.04,1.44535404
.Wisconsin,WI,"5,687,285",87.5,4976374.375,4.976374375
.Wyoming,WY,"563,775",86,484846.5,0.4848465
